flags,instruction,category,intent
B,problem with cancelling order {{Order Number}},ORDER,cancel_order
BILQ,how do i see the eta of order {{Order Number}},ORDER,track_order
BCL,"I need to see the allowed payment options, help me",PAYMENT,check_payment_methods
BIL,"can you help me giving a quick look at my bill #12588?",INVOICE,check_invoice
BKLZ,opdn {{Account Type}} account,ACCOUNT,create_account
BLZ,I want to check in which situations czn I ask for a refund,REFUND,check_refund_policy
BL,I need to speak to an operator,CONTACT,contact_human_agent
BL,I need help to cancel purchase {{Order Number}},ORDER,cancel_order
BL,I have got to check the early exit fee,CANCEL,check_cancellation_fee
BCL,"I have to talk to an assistant, help me",CONTACT,contact_human_agent
BL,I don't know what to do to lodge a complaint,FEEDBACK,complaint
BE,"I do not know what to do to get my invoice #00108",INVOICE,get_invoice
BELZ,I do not know what I have to do to talk wiyh a live agent,CONTACT,contact_human_agent
BELM,I do not know how I can report issues with a sign-up,ACCOUNT,registration_problems
BIL,what payment options do you accept?,PAYMENT,check_payment_methods
BLMQZ,assistance to acquire some of  ur item,ORDER,place_order
BLM,issues entering the new shipping address,SHIPPING,set_up_shipping_address
BQZ,i dont know what to do tl talk to an agent,CONTACT,contact_human_agent
BK,check order {{Order Number}} status,ORDER,track_order
BILQ,where to check what payment payment modalities are available,PAYMENT,check_payment_methods
BIL,can I see at what time I can call customer assistance?,CONTACT,contact_customer_service
BCL,"I have got to correct the data on my account, help me",ACCOUNT,edit_account
BLM,help me to report problems with a signup,ACCOUNT,registration_problems
BCILPWZ,"I have to earn a damn product , how could I do it?",ORDER,place_order
BCL,"I expect a compensation of {{Refund Amount}} dollars, was it processed",REFUND,track_refund
BLQ,need to remove the platinum account,ACCOUNT,delete_account
BILMQW,how can i add some bloody products to order {{Order Number}},ORDER,change_order
BIL,where can I reset the access key of my user profile?,ACCOUNT,recover_password
BELN,I do not want purchase {{Order Number}},ORDER,cancel_order
BL,I have to receive your corporate newsletter,SUBSCRIPTION,newsletter_subscription
BLQZ,"i want assistance to downlolad my bill #85632",INVOICE,get_invoice
BL,I am waiting for a restitution of {{Refund Amount}} dollars,REFUND,track_refund
BLQWZ,want help to deletd a damn article from order {{Order Number}},ORDER,change_order
BEL,I do not know what to do to speak to customer support,CONTACT,contact_customer_service
BL,I try to restore the access key of my account,ACCOUNT,recover_password
BCELMQVZ,i have paid {{Currency Symbol}}{{Refund Amount}} for an article i want an refund,REFUND,get_refund
BLMQ,want assistance to see what shipment methods are there,DELIVERY,delivery_options
BELMZ,I do not know how I can acquire several of yoru article,ORDER,place_order
BLMQ,i want help seeing what delivery options i can choose,DELIVERY,delivery_options
BLQZ,io want assistance to leave a comment for a service,FEEDBACK,review
BL,I want help to enter another delivery address,SHIPPING,set_up_shipping_address
BCIL,"I have to edit order {{Order Number}}, how to do it?",ORDER,change_order
BLW,help cancelling my bloody purchase,ORDER,cancel_order
BIL,can I check the early termination penalty?,CANCEL,check_cancellation_fee
BILQ,what do i need to do to do a purchase,ORDER,place_order
BKL,show your money back guarantee,REFUND,check_refund_policy
BCEL,"you are not helpful, I want assistance talking with someone",CONTACT,contact_human_agent
BILQ,is it possible to cancel purchase {{Order Number}},ORDER,cancel_order
BL,help me sending some feedback for a product,FEEDBACK,review
BL,I am calling to file a complaint against your organization,FEEDBACK,complaint
BL,I don't know how I can download my invoice from {{Person Name}},INVOICE,get_invoice
B,I have got to create a pro account,ACCOUNT,create_account
BLMQ,need assistance finding the bills from {{Person Name}},INVOICE,check_invoice
BCIL,"I have to check the withdrawal charge, how can I do it?",CANCEL,check_cancellation_fee
BELMQZ,i cannot find the early termination chaarges,CANCEL,check_cancellation_fee
BLM,order a few of your article,ORDER,place_order
BLMQ,i have issues editing the address,SHIPPING,change_shipping_address
BEL,I do not know what to do to inform of a sign-up issue,ACCOUNT,registration_problems
BLQ,need assistance closing my freemium account,ACCOUNT,delete_account
BKLZ,create premium accountfor wife,ACCOUNT,create_account
BLQ,need help to see in which cases can I ask for my money back,REFUND,check_refund_policy
BLW,I am trying to sign up to your fucking newsletter,SUBSCRIPTION,newsletter_subscription
B,problem with creating my freemium account,ACCOUNT,create_account
BILQ,can ya help me demand a rebate of money,REFUND,get_refund
BL,I want assistance to speak to an operator,CONTACT,contact_human_agent
BELNQ,i cannot check purchase {{Order Number}} status,ORDER,track_order
BCIL,"I ain't registered, how to open a {{Account Category}} account?",ACCOUNT,create_account
BLZ,I am waiting for an rebate of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BKL,notify of payment issue,PAYMENT,payment_issue
BL,I need help canceling purchase {{Order Number}},ORDER,cancel_order
BLZ,I don't know what I have to do to speak with an asistant,CONTACT,contact_human_agent
BIL,how do I inform of an issue with a signup?,ACCOUNT,registration_problems
BLQZ,I'm trying to retrieve the pas of my user profile,ACCOUNT,recover_password
BLQ,want assistance making a claim against ur company,FEEDBACK,complaint
BLZ,I have to see what payment methods you acecpt,PAYMENT,check_payment_methods
BL,I have got to reset my user account access key,ACCOUNT,recover_password
BLQ,"want assistance to give a quick look at my invoice #85632",INVOICE,check_invoice
BCIL,"I need to talk with customer assistance, can you help me?",CONTACT,contact_customer_service
BLQ,need help seeing at what time I can call customer assistance,CONTACT,contact_customer_service
BLW,I need to track my fucking compensation,REFUND,track_refund
BL,help me to see the refund status,REFUND,track_refund
BLZ,"I need help tl give a quick look at the bill #85632",INVOICE,check_invoice
BIL,how to switch a product of order {{Order Number}}?,ORDER,change_order
BCIL,"I want to change to the freemium account, can you help me?",ACCOUNT,switch_account
BIS,can I place an order from {{Delivery City}}?,DELIVERY,delivery_options
BL,I have got to contact customer assistance,CONTACT,contact_customer_service
BCLQZ,I'm very unhappyt with ur service i need to file a complaint,FEEDBACK,complaint
BI,is it possible to cancel order {{Order Number}}?,ORDER,cancel_order
BILQZ,where can i lodge a customer reclaation against ur business,FEEDBACK,complaint
BLM,I don't know what to do to order a few of your article,ORDER,place_order
BL,I try to check in what situations can I request a refund,REFUND,check_refund_policy
BL,modifying data on {{Account Category}} account,ACCOUNT,edit_account
BILMP,could you help me check what delivery methods you offer?,DELIVERY,delivery_options
BL,I need help subscribing to your corporate newsletter,SUBSCRIPTION,newsletter_subscription
BL,I have a question about canceling purchase {{Order Number}},ORDER,cancel_order
BLMQZ,i have to inform of errorfs with a signup,ACCOUNT,registration_problems
BLQZ,want assistance to cancel pyrchase {{Order Number}},ORDER,cancel_order
BKLM,errors with online payments,PAYMENT,payment_issue
BLM,there are troubles submitting another delivery address,SHIPPING,set_up_shipping_address
BEQ,i do not know what i need to do to switch to the {{Account Type}} account,ACCOUNT,switch_account
BCILMQ,i have got to check my bills from {{Person Name}} how to do it,INVOICE,check_invoice
BILM,how do I acquire a few of your item?,ORDER,place_order
BQ,need help to report an issue with payment,PAYMENT,payment_issue
BCIL,"I want to leave a comment for your company, how to do it?",FEEDBACK,review
BILQ,can i speak with someone,CONTACT,contact_human_agent
BLQ,need assistance seeing ur accepted payment methods,PAYMENT,check_payment_methods
BKL,purchase {{Order Number}} current status,ORDER,track_order
BEL,I do not know how to order a product,ORDER,place_order
BL,I don't know how I can subscribe to the company newsletter,SUBSCRIPTION,newsletter_subscription
BILQZ,where can i submit fedback for ur products,FEEDBACK,review
BIQS,is it possible to place an order from {{Delivery Country}},DELIVERY,delivery_options
BKL,canceling purchase {{Order Number}},ORDER,cancel_order
BL,I need assistance unsubscribing to the newsletter,SUBSCRIPTION,newsletter_subscription
BLMW,I need help checking what bloody delivery methods are there,DELIVERY,delivery_options
BL,I have to know if there is anything wrong with the refund,REFUND,track_refund
BELQ,i do not know how i can buy an article,ORDER,place_order
BCLM,"I paid {{Refund Amount}} dollars for an item, I need to receive a rebate",REFUND,get_refund
BL,I want assistance to change to the {{Account Type}} account,ACCOUNT,switch_account
BCIL,"I have to use the premium profile, how to do it?",ACCOUNT,switch_account
BCILZ,"I have got to enter a new shipping address, how do I do it ?",SHIPPING,set_up_shipping_address
BEL,I do not know how to notify of a sign-up issue,ACCOUNT,registration_problems
BILW,can you help me to list the damn allowed payment methods?,PAYMENT,check_payment_methods
BL,help me to ask for a restitution of my money,REFUND,get_refund
BL,assistance to cancel purchase {{Order Number}},ORDER,cancel_order
BCILPW,"I need to call damn customer support, how could I do it?",CONTACT,contact_customer_service
BEL,why I cannot set up the shipping address valid,SHIPPING,set_up_shipping_address
BILQ,"what do i have to do to download the invoice #12588",INVOICE,get_invoice
BL,I don't know how to check my restitution status,REFUND,track_refund
BL,help me to check the early exit charge,CANCEL,check_cancellation_fee
BILMZ,what do I have to do to check the early exit fees ?,CANCEL,check_cancellation_fee
BKLMZ,getbills from {{Person Name}},INVOICE,get_invoice
BLMQ,need assistance to notify of issues with a sign-up,ACCOUNT,registration_problems
BILQ,can i see how long it usually takes for my item to arrive,DELIVERY,delivery_period
BKLZ,new {{Account Type}} acount,ACCOUNT,create_account
BLM,I forgot to include some products in purchase {{Order Number}},ORDER,change_order
BL,calling customer assistance,CONTACT,contact_customer_service
BCIL,"I want to see your money back guarantee, how can I do it?",REFUND,check_refund_policy
BILM,how do I acquire some of your item?,ORDER,place_order
BQ,i want help canceling order {{Order Number}},ORDER,cancel_order
BISZ,do you edliver to {{Delivery Country}}?,DELIVERY,delivery_options
BKL,purchase {{Order Number}} status,ORDER,track_order
BCQ,wanna use the {{Account Type}} account i need help,ACCOUNT,switch_account
BILP,could you help me cancel purchase {{Order Number}}?,ORDER,cancel_order
BLQ,i need help to see the early termination charge,CANCEL,check_cancellation_fee
BLM,mail me the bills from {{Person Name}},INVOICE,get_invoice
BCELM,"I cannot make a payment, I need to inform of issues",PAYMENT,payment_issue
BLW,assistance to contact goddamn customer support,CONTACT,contact_customer_service
BKL,edit data on {{Account Type}} account,ACCOUNT,edit_account
BILQ,what do i need to do to restore my account pin,ACCOUNT,recover_password
BIL,what do I need to do to check the cancellation charge?,CANCEL,check_cancellation_fee
BKL,open {{Account Category}} account for wife,ACCOUNT,create_account
BILZ,can you show me when will myparcel arrive?,DELIVERY,delivery_period
BQ,i need information about delivery periods,DELIVERY,delivery_period
BLQ,want help to see in what cases can I request reimbursements,REFUND,check_refund_policy
BILM,where can I see what methods for delivery are available?,DELIVERY,delivery_options
BL,I want to send my feedback about your products,FEEDBACK,review
BEL,I do not know how to check how soon can I expect the parcel,DELIVERY,delivery_period
BLQ,i want assistance canceling purchase {{Order Number}},ORDER,cancel_order
BL,I try to see in what situations can I ask for reimbursements,REFUND,check_refund_policy
BLZ,asxistance speaking with somebody,CONTACT,contact_human_agent
BL,I want help speaking to a live agent,CONTACT,contact_human_agent
BIL,can you help me getting in touch with customer service?,CONTACT,contact_customer_service
BIL,can you help me write an opinion about a product?,FEEDBACK,review
BILQ,what do i need to do to ask for a rebate of money,REFUND,get_refund
BIL,can I close a standard account?,ACCOUNT,delete_account
BL,I want to set a new delivery address up,SHIPPING,set_up_shipping_address
BCILMW,"I need to earn several goddamn items, how can I do it?",ORDER,place_order
BLQ,"i dont know what to do to look for the invoice #37777",INVOICE,check_invoice
BL,see what hours I can contact customer support,CONTACT,contact_customer_service
BL,see your payment methods,PAYMENT,check_payment_methods
BL,I am trying to cancel purchase {{Order Number}},ORDER,cancel_order
BCL,"I bought some item, cancel order {{Order Number}}",ORDER,cancel_order
BL,help me to use the {{Account Category}} profile,ACCOUNT,switch_account
BLQ,i have an error with my sign-up,ACCOUNT,registration_problems
BKLM,send me bills from {{Person Name}},INVOICE,get_invoice
BLM,I want to check what shipping options are there,DELIVERY,delivery_options
BLQZ,want assistance to lodge a claimn against ur organization,FEEDBACK,complaint
BKLQZ,see ETA ob order {{Order Number}},ORDER,track_order
BLM,help me checking the early termination fees,CANCEL,check_cancellation_fee
BL,I need to enter a different shipping address,SHIPPING,set_up_shipping_address
BL,I don't know how to chat with an agent,CONTACT,contact_human_agent
BEL,I do not know how to change to the {{Account Category}} account,ACCOUNT,switch_account
BILMQWZ,how do i see thne goddamn invoices from {{Person Name}},INVOICE,check_invoice
BL,help to see order {{Order Number}} current status,ORDER,track_order
BCL,"I missed an item in purchase {{Order Number}}, I need help adding it",ORDER,change_order
BIQ,where do i switch to the pro account,ACCOUNT,switch_account
BKLZ,updating informtaion on {{Account Type}} account,ACCOUNT,edit_account
BILQZ,how do i check what hours customer supporft available is,CONTACT,contact_customer_service
BCLQZ,i dnt use my {{Account Category}} account want help to delete it,ACCOUNT,delete_account
BELZ,I do not know what I need to do to buy an product,ORDER,place_order
BL,help entering a different shipping address,SHIPPING,set_up_shipping_address
BLM,I am trying to inform of issues with payment,PAYMENT,payment_issue
BLQ,i have got to write a review for ur company,FEEDBACK,review
BILQ,can ya help me see what payment methods are accepted,PAYMENT,check_payment_methods
BLQ,help to see the ETA of purchase {{Order Number}},ORDER,track_order
BCLMQ,i cant pay i need help reporting problems with payments,PAYMENT,payment_issue
BILP,how could I submit feedback?,FEEDBACK,review
BLQ,i want help to update order {{Order Number}},ORDER,change_order
BLQZ,help me see the ETA  of purchase {{Order Number}},ORDER,track_order
BLQZ,i dont know how i can asj for a rebate,REFUND,get_refund
BK,setting up new shipping address,SHIPPING,set_up_shipping_address
BLQ,i need assistance to unsubscribe to the company newsletter,SUBSCRIPTION,newsletter_subscription
BILQ,can ya help me opening a {{Account Category}} account,ACCOUNT,create_account
BL,help speaking to customer service,CONTACT,contact_customer_service
BILMZ,where can I notify of problems with payent?,PAYMENT,payment_issue
BILQZ,where can i inform of a paymen error,PAYMENT,payment_issue
B,"I don't know what I need to do to check my invoice #00108",INVOICE,check_invoice
BIL,can I check when my article is going to arrive?,DELIVERY,delivery_period
BKLZ,cancelin {{Account Type}} account,ACCOUNT,delete_account
BLM,I need help downloading the bills from {{Person Name}},INVOICE,get_invoice
BLQ,need help recovering the pwd of my user,ACCOUNT,recover_password
BLMW,help to notify of an error with bloody registrations,ACCOUNT,registration_problems
BILM,where do I see what shipping options I can choose?,DELIVERY,delivery_options
BILQZ,is it possible to lodge an complaint against ur business,FEEDBACK,complaint
BCIL,"I am unsatisfied with your services, how can I make a claim?",FEEDBACK,complaint
BLMQZ,i have got to reeport issues with signup,ACCOUNT,registration_problems
BLQ,i need help writing an opinion for a service,FEEDBACK,review
BILZ,is it possible to list the allowed payment mthods?,PAYMENT,check_payment_methods
BLM,I need help to solve errors with payments,PAYMENT,payment_issue
BLMQZ,aswistance buying a few of ur product,ORDER,place_order
BL,help me canceling the subscription to the company newsletter,SUBSCRIPTION,newsletter_subscription
BL,I want to lodge a consumer complaint against your company,FEEDBACK,complaint
BLMW,assistance checking what bloody shipping options you offer,DELIVERY,delivery_options
BL,problem with opening a freemium account,ACCOUNT,create_account
BL,I am trying to see in which cases can I ask to be refunded,REFUND,check_refund_policy
BLQZ,have a question about the forgottem PIN,ACCOUNT,recover_password
BLW,I need help to check the bloody allowed payment options,PAYMENT,check_payment_methods
BCLM,"I have to purchase some of your article, help me",ORDER,place_order
BLQZ,want help checking in wht situations can i request refunds,REFUND,check_refund_policy
BILQ,can uhelp me check how soon can i expect my article,DELIVERY,delivery_period
BILP,how could I change to the {{Account Category}} account?,ACCOUNT,switch_account
BILM,where do I purchase some products?,ORDER,place_order
BLQZ,want help filing a cudtomer claim against ur organization,FEEDBACK,complaint
BIL,where do I demand a reimbursement of my money?,REFUND,get_refund
BILQZ,how can i speak to anoperator,CONTACT,contact_human_agent
BKLMZ,correctinmg details on {{Account Type}} account,ACCOUNT,edit_account
BLZ,I don't know how I can camcel purchase {{Order Number}},ORDER,cancel_order
BLMZ,I don't kmow how I can order several articles,ORDER,place_order
BLM,I have problems setting up a secondary delivery address,SHIPPING,set_up_shipping_address
BIL,what do I need to do to file a claim against your business?,FEEDBACK,complaint
BLQZ,assistance checking what hours i can reach customer sdupport,CONTACT,contact_customer_service
BQ,want help to cancel order {{Order Number}},ORDER,cancel_order
BLM,swap several articles of purchase {{Order Number}},ORDER,change_order
BILM,is it possible to shop some items?,ORDER,place_order
BIL,can I speak with a live agent?,CONTACT,contact_human_agent
BL,I try to correct order {{Order Number}},ORDER,change_order
BILQ,where to create a platinum account for my dad,ACCOUNT,create_account
BLQ,i want assistance to create a {{Account Type}} account,ACCOUNT,create_account
BL,help knowing if there is anything new on the restitution,REFUND,track_refund
BLMQZ,neef to notify of signup problems,ACCOUNT,registration_problems
BILQ,how to cancel the purchase i made,ORDER,cancel_order
BIL,how can I inform of a signup problem?,ACCOUNT,registration_problems
BLQZ,lodging  customer complaint against ur business,FEEDBACK,complaint
BILP,would it be possible to check the shipping methods?,DELIVERY,delivery_options
BIL,where to check the restitution status?,REFUND,track_refund
BCL,"I want to list the allowed payment options, I need help",PAYMENT,check_payment_methods
BIL,can I change an article of purchase {{Order Number}}?,ORDER,change_order
BLQ,i want help retrieving my pin code,ACCOUNT,recover_password
BILQ,what do i have to do to delete my {{Account Type}} account,ACCOUNT,delete_account
BLM,I have troubles setting another delivery address up,SHIPPING,set_up_shipping_address
BKL,correcting information on gold account,ACCOUNT,edit_account
BCL,"I don't need the gold account, help me close it",ACCOUNT,delete_account
BQ,i need help to set up a new shipping address,SHIPPING,set_up_shipping_address
BCILQ,wanna acquire an item how to do it,ORDER,place_order
BILQ,can i see under what circumstances can i ask for a refund,REFUND,check_refund_policy
BIL,where to see what hours I can contact customer support?,CONTACT,contact_customer_service
BIL,can you help me set my secondary shipping address up?,SHIPPING,set_up_shipping_address
BIL,how do I edit order {{Order Number}}?,ORDER,change_order
BK,ETA of order {{Order Number}},ORDER,track_order
BIQZ,can i pay witj visa,PAYMENT,check_payment_methods
BLQW,assistance seeing ur bloody available payment methods,PAYMENT,check_payment_methods
BCEILQ,i no longer need my standard account how can i cancel it,ACCOUNT,delete_account
BQ,i want assistance to buy an item,ORDER,place_order
BLQ,question about the pin reset,ACCOUNT,recover_password
BCIL,"I have to submit my new shipping address, how to do it?",SHIPPING,set_up_shipping_address
BLN,I can no longer pay for purchase {{Order Number}},ORDER,cancel_order
BL,changing purchase {{Order Number}},ORDER,change_order
BCILQWZ,i bought somegoddamn item how do i cancel order {{Order Number}},ORDER,cancel_order
BL,I want assistance to change to the freemium account,ACCOUNT,switch_account
BCLQZ,i have to see how soon can i expect the shipmrnt i need help,DELIVERY,delivery_period
BLMQ,i missed several items in purchase {{Order Number}},ORDER,change_order
BELQ,i do not know how to look for my invoice from {{Person Name}},INVOICE,check_invoice
BKLZ,new {{Account Category}} acount for wife,ACCOUNT,create_account
BLMQ,want help notifying of troubles with online payments,PAYMENT,payment_issue
BILQZ,where do i cherck at what time i can call customer service,CONTACT,contact_customer_service
BILM,where can I report sign-up problems?,ACCOUNT,registration_problems
BELNQ,i cannot inform of an issue with signup,ACCOUNT,registration_problems
BIL,can you help me canceling purchase {{Order Number}}?,ORDER,cancel_order
BLM,I don't know how I can shop some items,ORDER,place_order
BILM,is it possible to see what shipping methods you offer?,DELIVERY,delivery_options
BCLMW,"I want to earn some goddamn items, I need assistance",ORDER,place_order
BLMZ,help to add some products to purchjase {{Order Number}},ORDER,change_order
BQ,i want help changing an item of order {{Order Number}},ORDER,change_order
BLZ,I want to unsubscribe from the newsleter,SUBSCRIPTION,newsletter_subscription
BIPZ,could you show me inwhat cases can I ask for refunds?,REFUND,check_refund_policy
BILP,could you help me to see the status of the reimbursement?,REFUND,track_refund
BLQ,i want help seeing in what cases can i ask to be refunded,REFUND,check_refund_policy
BK,switch user,ACCOUNT,switch_account
BL,I need help leaving feedback about a service,FEEDBACK,review
BL,I need assistance seeing the compensation current status,REFUND,track_refund
BLQ,want help submitting my feedback about your services,FEEDBACK,review
BLZ,I want help to cancle purchase {{Order Number}},ORDER,cancel_order
BCLZ,"I want to speak with customedr assistance, help me",CONTACT,contact_customer_service
BCEILMV,"I have paid {{Currency Symbol}}{{Refund Amount}} for this item, how to get my money back?",REFUND,get_refund
BL,I have got to check in which cases can I ask for refunds,REFUND,check_refund_policy
BLM,help seeing what delivery options you offer,DELIVERY,delivery_options
BL,help to see in which cases can I request a reimbursement,REFUND,check_refund_policy
BELMQ,i do not know how to demand refunds,REFUND,get_refund
BLP,I would like to cancel purchase {{Order Number}},ORDER,cancel_order
BLMW,give a quick look at the damn invoices from {{Person Name}},INVOICE,check_invoice
BLQ,want assistance receiving a refund of money,REFUND,get_refund
BK,status of order {{Order Number}},ORDER,track_order
BL,help to see at what time I can contact customer support,CONTACT,contact_customer_service
BIL,where can I see the early termination charge?,CANCEL,check_cancellation_fee
BL,I have got to see in which cases can I ask for refunds,REFUND,check_refund_policy
BLMQ,wanna inform of issues with payment,PAYMENT,payment_issue
BCL,"I have to set my new delivery address up, I need assistance",SHIPPING,set_up_shipping_address
BILQ,how to add an article to order {{Order Number}},ORDER,change_order
BLZ,help me enter an new shipping address,SHIPPING,set_up_shipping_address
BCLM,"I paid {{Currency Symbol}}{{Refund Amount}} for an article, I need help to get a refund",REFUND,get_refund
BLZ,I ned information about the termination of a gold account,ACCOUNT,delete_account
BILM,where can I order some articles?,ORDER,place_order
BILW,what do I need to do to delete a goddamn gold account?,ACCOUNT,delete_account
BLM,I have got to earn a few of your product,ORDER,place_order
BL,I have to call customer service,CONTACT,contact_customer_service
BILW,how do I download the goddamn invoice from {{Person Name}}?,INVOICE,get_invoice
BCIL,"I have got to receive your company newsletter, how to do it?",SUBSCRIPTION,newsletter_subscription
BKZ,using {{Account Type}} accouny,ACCOUNT,switch_account
BELZ,I do not know how to contact cutomer support,CONTACT,contact_customer_service
BLQ,help seeing in what cases can i request refunds,REFUND,check_refund_policy
BL,I try to check in what cases can I request to be reimbursed,REFUND,check_refund_policy
BLMQ,i need assistance solving an error with payments,PAYMENT,payment_issue
BIMQ,how to add some items to order {{Order Number}},ORDER,change_order
BILM,can you help me notifying of errors with online payment?,PAYMENT,payment_issue
BLQ,want assistance to check the cancellation charge,CANCEL,check_cancellation_fee
BCIL,"I have to receive your newsletter, how do I do it?",SUBSCRIPTION,newsletter_subscription
BCIL,"my new delivery address isn't valid, what should I do?",SHIPPING,set_up_shipping_address
BLZ,Iexpect a restitution of {{Refund Amount}} dollars,REFUND,track_refund
BIL,what do I have to do to delete a {{Account Type}} account?,ACCOUNT,delete_account
BLMQ,i want assistance notifying of sign-up errors,ACCOUNT,registration_problems
BLMQZ,i try to reoprt issues with sign-up,ACCOUNT,registration_problems
BILQZ,can ushow me the accepted payment metyods,PAYMENT,check_payment_methods
BL,I need help with cancelling purchase {{Order Number}},ORDER,cancel_order
BL,I want help seeing in what cases can I ask to be refunded,REFUND,check_refund_policy
BQ,"i dont know what i have to do to get the invoice #00108",INVOICE,get_invoice
BL,I have got to submit the new delivery address,SHIPPING,set_up_shipping_address
BQ,need assistance to create a premium account,ACCOUNT,create_account
BK,change order {{Order Number}},ORDER,change_order
BLQ,I'm trying to report a problem with online payment,PAYMENT,payment_issue
BKL,another {{Account Category}} account,ACCOUNT,create_account
BL,I need help to make a claim,FEEDBACK,complaint
BKLZ,new standard acount for wife,ACCOUNT,create_account
BLQ,wanna see how long it usually takes for the order to arrive,DELIVERY,delivery_period
BL,help me informing of a payment problem,PAYMENT,payment_issue
BLMQZ,want help deleting several articles from  purchase {{Order Number}},ORDER,change_order
BEQ,i do not know how i can cancel order {{Order Number}},ORDER,cancel_order
BILPZ,will you tell me what hours I can call customer service ?,CONTACT,contact_customer_service
BCILMQ,wanna check what shipping methods uoffer can uhelp me,DELIVERY,delivery_options
BLM,problems with {{Account Category}} account terminations,ACCOUNT,delete_account
BEL,I do not know what I have to do to see the termination fee,CANCEL,check_cancellation_fee
BLZ,I want assistance to check how soon can Iexpect my purchase,DELIVERY,delivery_period
BIL,how do I cancel my corporate newsletter subscription?,SUBSCRIPTION,newsletter_subscription
BL,I demand a reimbursement of money,REFUND,get_refund
BLQ,i have got to see what hours i can call customer support,CONTACT,contact_customer_service
BILQ,can uhelp me change the data on my profile,ACCOUNT,edit_account
BL,I need help notifying of a problem with online payment,PAYMENT,payment_issue
BIL,where do I list your accepted payment options?,PAYMENT,check_payment_methods
BLQ,help me sign up to ur company newsletter,SUBSCRIPTION,newsletter_subscription
BCL,"I lost my account PIN code, assistance to reset it",ACCOUNT,recover_password
BCLW,"I expect a goddamn compensation of {{Currency Symbol}}{{Refund Amount}}, was it processed",REFUND,track_refund
BELZ,I do not know how to close the {{Account Category}} azccount,ACCOUNT,delete_account
BIL,where can I lodge a customer claim against your business?,FEEDBACK,complaint
BL,problem with a pro account removal,ACCOUNT,delete_account
BLM,I need to notify of troubles with online payment,PAYMENT,payment_issue
BIL,how can I inform of an error with a signup?,ACCOUNT,registration_problems
BL,contact a live agent,CONTACT,contact_human_agent
BLZ,"I want  assistance downloading the invoice #00108",INVOICE,get_invoice
BILMZ,whre do I inform of problems with sign-up?,ACCOUNT,registration_problems
BLQ,need help requesting a compensation of money,REFUND,get_refund
BILM,can I check what shipping methods I have?,DELIVERY,delivery_options
BKL,open platinum account for wife,ACCOUNT,create_account
BLQ,want help submitting a different delivery address,SHIPPING,set_up_shipping_address
BL,I want assistance to open a premium account,ACCOUNT,create_account
BCL,"I have to check how long the shipment takes, I need help",DELIVERY,delivery_period
BLMQ,wanna shop a few of ur article,ORDER,place_order
BL,"help me to download the invoice #37777",INVOICE,get_invoice
BCEL,"you are not helpful at all, help me speak to a human agent",CONTACT,contact_human_agent
BILP,could you help me to see how long reimbursements take?,REFUND,check_refund_policy
BLZ,I need assistanc chatting with a live agent,CONTACT,contact_human_agent
BLMZ,I want help to check the termnation fees,CANCEL,check_cancellation_fee
BL,I need assistance to change to the gold account,ACCOUNT,switch_account
BCLMQ,i have to acquire some items i need assistance,ORDER,place_order
BL,I want help to set my shipping address up,SHIPPING,set_up_shipping_address
BL,I need assistance ordering an item,ORDER,place_order
BCIL,"I want to use the {{Account Type}} profile, how to do it?",ACCOUNT,switch_account
BL,I don't know how to change to the pro account,ACCOUNT,switch_account
BLM,I don't know how I can shop several articles,ORDER,place_order
BIL,how do I use the {{Account Type}} profile?,ACCOUNT,switch_account
BILQ,can i check the status of purchase {{Order Number}},ORDER,track_order
BIL,what do I have to do to retrieve my key?,ACCOUNT,recover_password
BLQ,i dont know how to see ur available payment modalities,PAYMENT,check_payment_methods
BCELM,"I cannot pay, help me to inform of a problem with payments",PAYMENT,payment_issue
BLM,troubles entering my secondary delivery address,SHIPPING,set_up_shipping_address
BLQZ,i need help recfeiving ur company newsletter,SUBSCRIPTION,newsletter_subscription
BLQZ,want assistance to file a  complaint against ur company,FEEDBACK,complaint
BILZ,how to speak to customer support ?,CONTACT,contact_customer_service
BLQ,need to use the {{Account Type}} profile,ACCOUNT,switch_account
BL,I want assistance entering my new shipping address,SHIPPING,set_up_shipping_address
B,I want help to set a different shipping address up,SHIPPING,set_up_shipping_address
BKM,getting invoice from five months ago,INVOICE,get_invoice
BELQ,i do not know what to do to modify the user data,ACCOUNT,edit_account
BILZ,how to check whatg hours I can reach customer support?,CONTACT,contact_customer_service
BELQZ,i  cannot enter a shipping address,SHIPPING,set_up_shipping_address
BLZ,I don't know how I can chek the early exit charge,CANCEL,check_cancellation_fee
BL,I need help submitting my secondary shipping address,SHIPPING,set_up_shipping_address
BISZ,is it plssible to order from {{Delivery Country}}?,DELIVERY,delivery_options
BLQZ,i need help to subvmit some feedback about ur products,FEEDBACK,review
BLMQ,need help obtaining restitutions of my money,REFUND,get_refund
BLZ,help me seeing how long it takes for the delivery to rarive,DELIVERY,delivery_period
BL,I have to unsubscribe from the corporate newsletter,SUBSCRIPTION,newsletter_subscription
BLQ,I'm trying to see the eta of purchase {{Order Number}},ORDER,track_order
BLQ,wanna check in which cases can i ask for a refund,REFUND,check_refund_policy
BIQSZ,can i place an order frim {{Delivery Country}},DELIVERY,delivery_options
BLQZ,need help  retrieving my profile PIN,ACCOUNT,recover_password
